CUSTOMER_ID,LIFETIME_VALUE
11,49590
479,13699
159,13957
355,22431
327,61871
564,17059
500,26893
13,59159
154,35780
650,62895
276,88297
367,85372
440,97276
199,86784
337,50911
352,26562
409,44628
266,18766
173,15582
292,18808
301,38421
176,30256
105,75660
6,87653
492,51254
212,33086
263,76383
146,8110
137,73565
279,27817
311,35971
224,26371
82,6265
503,34982
661,8046
484,31352
574,8040
516,64396
457,23413
628,72721
2,63008
42,71573
380,79709
286,41398
598,75185
603,50142
370,5755
588,50749
62,75594
451,98523
145,22891
529,49361
322,30232
216,51429
114,58579
660,21727
204,95408
382,17438
49,35247
454,49965
351,55409
236,24977
504,14003
371,58706
421,49742
361,33306
228,1526
321,91614
565,20752
427,90729
368,76349
346,93698
611,91485
320,76351
38,98907
693,11030
307,87778
296,83370
269,27753
132,43384
174,11084
160,26242
550,28424
65,38667
482,89997
257,34910
324,7417
81,90
66,47630
476,27536
198,96145
536,54533
272,4478
551,2649
485,50542
615,3831
335,83066
602,736
612,63538
306,6036
264,39920
334,52289
586,58425
118,11176
432,18826
207,90492
126,40480
487,37286
45,91238
651,78913
215,83749
481,20852
494,82681
619,54814
471,21779
401,20428
531,99954
442,37468
344,29292
166,49770
542,26483
217,43175
41,71721
14,92226
297,62451
521,67401
501,79747
697,2203
652,23463
538,36953
251,41391
80,32242
206,44963
288,26972
449,93401
196,72691
452,29222
310,10024
213,89292
36,88321
582,3077
164,47201
90,42055
277,50496
512,89644
609,24098
298,99271
259,15428
680,55289
175,17206
583,14708
244,69838
180,84996
299,30244
622,24873
699,31508
515,59937
237,7978
47,85873
514,63853
658,68124
684,56341
189,48070
233,44823
357,43371
674,94951
690,39835
53,83302
415,56811
365,14228
663,10831
532,8678
150,50996
672,90642
605,71506
518,8595
460,7736
312,81375
359,1294
356,79404
181,7957
134,23832
435,89035
44,30479
444,23178
522,69898
434,88920
677,91707
665,72620
386,92984
400,81790
379,57715
88,86849
624,46982
424,46521
27,25879
108,97007
234,81296
552,25770
654,70393
153,33617
673,70000
54,7945
26,13532
590,60049
30,1460
467,63710
163,34187
387,59112
195,65343
592,3975
138,62816
29,71864
404,15683
300,4945
59,26164
572,91180
631,69424
278,68780
676,24792
73,84489
77,40996
559,43427
649,83595
102,92640
509,12570
383,28382
182,36362
470,5628
576,45243
267,34268
636,99338
669,48038
587,56357
227,2183
394,80036
64,48209
461,11534
539,67551
496,84493
635,5558
614,10506
657,22024
662,10063
293,68923
101,62156
526,56099
593,100904
537,130092
197,31650
567,33818
445,55935
87,48789
372,82182
543,78388
280,3529
438,51810
610,45669
623,29821
553,89145
86,28960
318,47404
575,24763
459,93105
179,36739
186,5843
60,29866
561,13398
20,30429
157,69872
281,13685
563,26421
10,31566
597,28831
413,9870
116,1504
360,35765
594,37702
591,3474
556,73020
183,94825
643,24429
595,26481
52,21494
336,47727
422,155
229,98855
172,60741
557,77628
304,11278
121,68368
100,5464
161,461
74,64858
534,6267
317,30052
464,12434
178,48212
109,8319
364,64267
426,28244
447,56528
410,57190
425,31974
305,16179
326,19494
528,4601
354,99730
319,99427
646,22334
600,98600
419,23747
142,42180
548,58876
261,22228
511,71841
302,38230
98,39589
201,42915
535,61308
604,45186
93,25835
127,98870
685,84152
694,97379
414,49720
97,59070
463,32094
374,39503
152,14022
283,72508
265,90668
495,5998
407,38209
545,32772
477,89804
483,61832
104,82910
289,26826
488,99641
158,17042
130,41336
607,8048
558,86207
78,11748
340,76963
55,52952
655,63591
428,52357
314,62526
630,92601
573,52242
497,19942
141,29394
411,62033
581,34419
544,73439
700,12461
429,82042
193,95730
67,10748
403,84203
31,75773
85,14512
691,107
270,7554
231,9404
168,25689
632,55674
608,57191
358,53092
107,36216
701,4141
331,90075
188,74525
446,56856
16,50723
584,72369
83,22421
48,72831
171,2830
498,28765
589,64934
395,48752
230,91224
443,69660
478,45269
420,24814
8,83071
268,18375
135,16401
671,5882
416,51509
99,33751
391,6807
258,50449
640,27219
221,95434
384,11197
202,69756
506,50580
433,92956
489,20601
679,9428
111,77481
505,95160
390,32073
46,91390
389,16036
4,6682
220,78731
468,17399
513,24519
408,76831
1,67187
499,291
155,50530
194,27646
71,43852
115,50352
638,17487
571,71006
323,98079
112,81303
341,69261
255,37849
95,22199
629,74809
119,88988
313,92341
75,88939
209,68515
187,40710
510,84719
235,51559
570,64780
185,70386
388,42537
666,26933
117,13531
325,74982
239,19808
76,98792
92,93325
192,78051
696,19935
580,20234
205,77286
568,3272
110,49415
362,49844
211,77827
519,53692
24,47539
273,27743
606,62843
129,49113
51,71653
566,89733
560,26021
417,64818
144,18058
617,16007
396,78494
169,88346
398,86947
167,26159
465,9069
675,42020
282,2305
56,56037
136,34279
353,59851
122,69118
284,84236
554,96918
473,26586
248,48245
34,62658
670,6081
469,3146
530,97756
625,39779
533,16040
441,66399
491,21723
238,1263
687,77214
448,6334
569,69916
262,39129
405,47797
223,69177
466,72594
613,667
456,92763
342,72667
508,33300
22,98924
147,22027
165,98426
644,75062
69,31457
240,36140
68,82129
210,28109
21,11273
686,83518
252,81495
96,51974
170,57130
547,24188
688,35511
125,62442
474,13683
376,36700
524,78478
626,46983
219,23129
131,67007
437,33395
256,64049
5,82374
348,79023
139,41879
190,36643
7,10774
647,47808
143,37964
480,95903
151,38081
294,91152
241,7024
577,13720
596,90567
3,1691
502,73092
222,48025
458,95947
316,93565
490,67529
50,45506
23,78494
392,20584
349,83580
418,61076
525,1681
668,46981
184,97612
578,10944
347,73404
243,71825
57,55975
475,79419
366,24707
678,40340
113,50686
177,40129
397,67164
123,79720
18,39783
692,88792
253,93508
37,76104
308,93424
232,5314
698,35358
25,94602
84,96236
681,77764
291,6100
9,57953
363,32039
250,74942
562,50872
140,87950
94,2188
656,99083
303,42835
338,80361
455,93176
641,16118
128,93851
546,31889
689,43764
450,10590
339,81276
430,49546
683,9692
225,27945
402,42761
40,75901
12,17280
645,32170
275,73603
527,89063
19,49762
453,7356
271,66626
332,93344
133,59100
520,90737
639,87621
17,79201
103,67897
79,75969
274,73100
63,22176
378,99521
242,13750
260,19189
218,51177
412,94934
290,55884
