PRIMARY_CATEGORY,SUBCATEGORY
Wait time inside branch,Disorganized branch
Wait time inside branch,Inefficient Service
Wait time inside branch,Lack of Communication
Wait time inside branch,Other
Wait time inside branch,Poor Queue Management
Wait time in drive thru,Disorganized Service
Wait time in drive thru,Inefficient Drive-Thru Layout
Wait time in drive thru,Lack of Communication
Wait time in drive thru,Other
Wait time in drive thru,understaffing
Wait time in drive thru,Slow Transaction Processing
Poorly maintained facility,ATM and Equipment Malfunctions
Poorly maintained facility,Accessibility and Mobility Problems
Poorly maintained facility,Cleanliness and Maintenance Issues
Poorly maintained facility,Lighting and Temperature Issues
Poorly maintained facility,Other
Poorly maintained facility,Restroom Maintenance and Hygiene
Poorly maintained facility,Signage and Navigation Confusion
Poorly maintained facility,Uncomfortable Waiting Areas
Problem accessing security deposit box,Appointment Scheduling Problems
Problem accessing security deposit box,Fee Disputes
Problem accessing security deposit box,Limited Hours
Problem accessing security deposit box,Other
Problem accessing security deposit box,Security Procedure Complaints
Problem accessing security deposit box,Staff Unhelpfulness
Inexperienced or unprofessional teller,Failure to Resolve Issues
Inexperienced or unprofessional teller,Incompetence or Lack of Knowledge
Inexperienced or unprofessional teller,Lack of Clear Explanations
Inexperienced or unprofessional teller,Other
Inexperienced or unprofessional teller,Staff Professionalism Issues
Inexperienced or unprofessional teller,Transaction Processing Errors
Inexperienced or unprofessional teller,Unfriendly or Rude Service
Inexperienced or unprofessional banker advisor,Advisor Professionalism Issues
Inexperienced or unprofessional banker advisor,Communication Breakdowns
Inexperienced or unprofessional banker advisor,Incompetence
Inexperienced or unprofessional banker advisor,Inefficient Processes
Inexperienced or unprofessional banker advisor,Lack of Transparency
Inexperienced or unprofessional banker advisor,Other
Inexperienced or unprofessional banker advisor,Unfulfilled Promises
Inexperienced or unprofessional banker advisor,Unmet Expectations
